operation_id,symbol,sell_date,buy_date,quantity,buy_price,sell_price,cost_basis,sell_value,gain_loss,holding_period_days
BTCUSDT_2026-02-13T00:36:42.588648_1509678787008,BTCUSDT,2026-02-13T00:36:42.588648,2026-02-13T00:17:21.276183,0.0005503869365687726,66308.23755,65992.60719,36.5,36.32,-0.17,0
BTCUSDT_2026-02-13T00:36:42.588648_1509678787008,BTCUSDT,2026-02-13T00:36:42.588648,2026-02-13T00:17:45.346332,0.0002749122824832259,66276.46166999999,65992.60719,18.22,18.14,-0.08,0
BTCUSDT_2026-02-13T00:36:42.588648_1509678787008,BTCUSDT,2026-02-13T00:36:42.588648,2026-02-13T00:18:09.699170,0.00013736563956060307,66220.61376000001,65992.60719,9.1,9.07,-0.03,0
BTCUSDT_2026-02-13T00:36:42.588648_1509678787008,BTCUSDT,2026-02-13T00:36:42.588648,2026-02-13T00:22:16.006417,0.000687601186428359,66183.075,65992.60719,45.51,45.38,-0.13,0
BTCUSDT_2026-02-13T00:41:43.350656_1507572997568,BTCUSDT,2026-02-13T00:41:43.350656,2026-02-13T00:22:16.006417,0.00041373398510399155,66183.075,66064.05145000001,27.38,27.33,-0.05,0
BTCUSDT_2026-02-13T00:41:43.350656_1507572997568,BTCUSDT,2026-02-13T00:41:43.350656,2026-02-13T00:22:52.103905,0.0005498185350131294,66185.81637,66064.05145000001,36.39,36.32,-0.07,0
BTCUSDT_2026-02-13T00:41:43.350656_1507572997568,BTCUSDT,2026-02-13T00:41:43.350656,2026-02-13T00:23:28.193618,0.0002746106324795476,66158.372655,66064.05145000001,18.17,18.14,-0.03,0
BTCUSDT_2026-02-13T00:41:43.350656_1507572997568,BTCUSDT,2026-02-13T00:41:43.350656,2026-02-13T00:24:04.261600,0.00013710138370346862,66157.36215,66064.05145000001,9.07,9.06,-0.01,0
BTCUSDT_2026-02-13T00:41:43.350656_1507572997568,BTCUSDT,2026-02-13T00:41:43.350656,2026-02-13T00:27:07.785870,0.0006797815000081089,66076.131555,66064.05145000001,44.92,44.91,-0.01,0
BTCUSDT_2026-02-13T00:46:44.224816_1507573441792,BTCUSDT,2026-02-13T00:46:44.224816,2026-02-13T00:27:07.785870,0.00042014536238617946,66076.131555,65923.96153,27.76,27.7,-0.06,0
